date,close,open,high,low,volume
2004-11-22T00:00:00-05:00,1177.23999,1170.33997,1178.18005,1167.89001,1392700000.0
2004-11-23T00:00:00-05:00,1176.93994,1177.23999,1179.52002,1171.41003,1428300000.0
2004-11-24T00:00:00-05:00,1181.76001,1176.93994,1182.45996,1176.93994,1149600000.0
2004-11-26T00:00:00-05:00,1182.65002,1181.76001,1186.62,1181.07996,504580000.0
2004-11-29T00:00:00-05:00,1178.56995,1182.65002,1186.93994,1172.37,1378500000.0
2004-11-30T00:00:00-05:00,1173.81995,1178.56995,1178.66003,1173.81006,1553500000.0
2004-12-01T00:00:00-05:00,1191.37,1173.78003,1191.37,1173.78003,1772800000.0
2004-12-02T00:00:00-05:00,1190.32996,1191.37,1194.80005,1186.71997,1774900000.0
2004-12-03T00:00:00-05:00,1191.17004,1190.32996,1197.45996,1187.70996,1566700000.0
2004-12-06T00:00:00-05:00,1190.25,1191.17004,1192.41003,1185.18005,1354400000.0
2004-12-07T00:00:00-05:00,1177.06995,1190.25,1192.17004,1177.06995,1533900000.0
2004-12-08T00:00:00-05:00,1182.81006,1177.06995,1184.05005,1177.06995,1525200000.0
2004-12-09T00:00:00-05:00,1189.23999,1182.81006,1190.51001,1173.79004,1624700000.0
2004-12-10T00:00:00-05:00,1188.0,1189.23999,1191.44995,1185.23999,1443700000.0
2004-12-13T00:00:00-05:00,1198.68005,1188.0,1198.73999,1188.0,1436100000.0
2004-12-14T00:00:00-05:00,1203.38,1198.68005,1205.29004,1197.83997,1544400000.0
2004-12-15T00:00:00-05:00,1205.71997,1203.38,1206.60999,1199.43994,1695800000.0
2004-12-16T00:00:00-05:00,1203.20996,1205.71997,1207.96997,1198.41003,1793900000.0
2004-12-17T00:00:00-05:00,1194.19995,1203.20996,1203.20996,1193.48999,2335000000.0
2004-12-20T00:00:00-05:00,1194.65002,1194.19995,1203.43005,1193.35999,1422800000.0
2004-12-21T00:00:00-05:00,1205.44995,1194.65002,1205.93005,1194.65002,1483700000.0
2004-12-22T00:00:00-05:00,1209.56995,1205.44995,1211.42004,1203.84998,1390800000.0
2004-12-23T00:00:00-05:00,1210.13,1209.56995,1213.66003,1208.70996,956100000.0
2004-12-27T00:00:00-05:00,1204.92004,1210.13,1214.13,1204.92004,922000000.0
2004-12-28T00:00:00-05:00,1213.54004,1204.92004,1213.54004,1204.92004,983000000.0
2004-12-29T00:00:00-05:00,1213.44995,1213.54004,1213.84998,1210.94995,925900000.0
2004-12-30T00:00:00-05:00,1213.55005,1213.44995,1216.46997,1213.41003,829800000.0
2004-12-31T00:00:00-05:00,1211.92004,1213.55005,1217.32996,1211.65002,786900000.0
2005-01-03T00:00:00-05:00,1202.07996,1211.92004,1217.80005,1200.31995,1510800000.0
2005-01-04T00:00:00-05:00,1188.05005,1202.07996,1205.83997,1185.39001,1721000000.0
2005-01-05T00:00:00-05:00,1183.73999,1188.05005,1192.72998,1183.71997,1738900000.0
2005-01-06T00:00:00-05:00,1187.89001,1183.73999,1191.63,1183.27002,1569100000.0
2005-01-07T00:00:00-05:00,1186.18994,1187.89001,1192.19995,1182.16003,1477900000.0
2005-01-10T00:00:00-05:00,1190.25,1186.18994,1194.78003,1184.80005,1490400000.0
2005-01-11T00:00:00-05:00,1182.98999,1190.25,1190.25,1180.43005,1488800000.0
2005-01-12T00:00:00-05:00,1187.69995,1182.98999,1187.92004,1175.64001,1562100000.0
2005-01-13T00:00:00-05:00,1177.44995,1187.69995,1187.69995,1175.81006,1510300000.0
2005-01-14T00:00:00-05:00,1184.52002,1177.44995,1185.20996,1177.44995,1335400000.0
2005-01-18T00:00:00-05:00,1195.97998,1184.52002,1195.97998,1180.09998,1596800000.0
2005-01-19T00:00:00-05:00,1184.63,1195.97998,1195.97998,1184.41003,1498700000.0
2005-01-20T00:00:00-05:00,1175.41003,1184.63,1184.63,1173.42004,1692000000.0
2005-01-21T00:00:00-05:00,1167.87,1175.41003,1179.44995,1167.81995,1643500000.0
2005-01-24T00:00:00-05:00,1163.75,1167.87,1173.03003,1163.75,1494600000.0
2005-01-25T00:00:00-05:00,1168.41003,1163.75,1174.30005,1163.75,1610400000.0
2005-01-26T00:00:00-05:00,1174.06995,1168.41003,1175.95996,1168.41003,1635900000.0
2005-01-27T00:00:00-05:00,1174.55005,1174.06995,1177.5,1170.15002,1600600000.0
2005-01-28T00:00:00-05:00,1171.35999,1174.55005,1175.60999,1166.25,1641800000.0
2005-01-31T00:00:00-05:00,1181.27002,1171.35999,1182.06995,1171.35999,1679800000.0
2005-02-01T00:00:00-05:00,1189.41003,1181.27002,1190.39001,1180.94995,1681980000.0
2005-02-02T00:00:00-05:00,1193.18994,1189.41003,1195.25,1188.92004,1561740000.0
2005-02-03T00:00:00-05:00,1189.89001,1193.18994,1193.18994,1185.64001,1554460000.0
2005-02-04T00:00:00-05:00,1203.03003,1189.89001,1203.46997,1189.67004,1648160000.0
2005-02-07T00:00:00-05:00,1201.71997,1203.03003,1204.15002,1199.27002,1347270000.0
2005-02-08T00:00:00-05:00,1202.30005,1201.71997,1205.10999,1200.16003,1416170000.0
2005-02-09T00:00:00-05:00,1191.98999,1202.30005,1203.82996,1191.54004,1511040000.0
2005-02-10T00:00:00-05:00,1197.01001,1191.98999,1198.75,1191.54004,1491670000.0
2005-02-11T00:00:00-05:00,1205.30005,1197.01001,1208.38,1193.28003,1562300000.0
2005-02-14T00:00:00-05:00,1206.14001,1205.30005,1206.93005,1203.58997,1290180000.0
2005-02-15T00:00:00-05:00,1210.12,1206.14001,1212.43994,1205.52002,1527080000.0
2005-02-16T00:00:00-05:00,1210.33997,1210.12,1212.43994,1205.06006,1490100000.0
2005-02-17T00:00:00-05:00,1200.75,1210.33997,1211.32996,1200.73999,1580120000.0
2005-02-18T00:00:00-05:00,1201.58997,1200.75,1202.92004,1197.34998,1551200000.0
2005-02-22T00:00:00-05:00,1184.16003,1201.58997,1202.47998,1184.16003,1744940000.0
2005-02-23T00:00:00-05:00,1190.80005,1184.16003,1193.52002,1184.16003,1501090000.0
2005-02-24T00:00:00-05:00,1200.19995,1190.80005,1200.42004,1187.80005,1518750000.0
2005-02-25T00:00:00-05:00,1211.37,1200.19995,1212.15002,1199.60999,1523680000.0
2005-02-28T00:00:00-05:00,1203.59998,1211.37,1211.37,1198.13,1795480000.0
2005-03-01T00:00:00-05:00,1210.41003,1203.59998,1212.25,1203.59998,1708060000.0
2005-03-02T00:00:00-05:00,1210.07996,1210.41003,1215.79004,1204.21997,1568540000.0
2005-03-03T00:00:00-05:00,1210.46997,1210.07996,1215.71997,1204.44995,1616240000.0
2005-03-04T00:00:00-05:00,1222.12,1210.46997,1224.76001,1210.46997,1636820000.0
2005-03-07T00:00:00-05:00,1225.31006,1222.12,1229.10999,1222.12,1488830000.0
2005-03-08T00:00:00-05:00,1219.43005,1225.31006,1225.68994,1218.56995,1523090000.0
2005-03-09T00:00:00-05:00,1207.01001,1219.43005,1219.43005,1206.66003,1704970000.0
2005-03-10T00:00:00-05:00,1209.25,1207.01001,1211.22998,1201.41003,1604020000.0
2005-03-11T00:00:00-05:00,1200.07996,1209.25,1213.04004,1198.15002,1449820000.0
2005-03-14T00:00:00-05:00,1206.82996,1200.07996,1206.82996,1199.51001,1437430000.0
2005-03-15T00:00:00-05:00,1197.75,1206.82996,1210.54004,1197.75,1513530000.0
2005-03-16T00:00:00-05:00,1188.06995,1197.75,1197.75,1185.60999,1653190000.0
2005-03-17T00:00:00-05:00,1190.20996,1188.06995,1193.28003,1186.33997,1581930000.0
2005-03-18T00:00:00-05:00,1189.65002,1190.20996,1191.97998,1182.78003,2344370000.0
2005-03-21T00:00:00-05:00,1183.78003,1189.65002,1189.65002,1178.81995,1819440000.0
2005-03-22T00:00:00-05:00,1171.70996,1183.78003,1189.58997,1171.63,2114470000.0
2005-03-23T00:00:00-05:00,1172.53003,1171.70996,1176.26001,1168.69995,2246870000.0
2005-03-24T00:00:00-05:00,1171.42004,1172.53003,1180.10999,1171.42004,1721720000.0
2005-03-28T00:00:00-05:00,1174.28003,1171.42004,1179.91003,1171.42004,1746220000.0
2005-03-29T00:00:00-05:00,1165.35999,1174.28003,1179.39001,1163.68994,2223250000.0
2005-03-30T00:00:00-05:00,1181.41003,1165.35999,1181.54004,1165.35999,2097110000.0
2005-03-31T00:00:00-05:00,1180.58997,1181.41003,1184.53003,1179.48999,2214230000.0
2005-04-01T00:00:00-05:00,1172.92004,1180.58997,1189.80005,1169.91003,2168690000.0
2005-04-04T00:00:00-04:00,1176.12,1172.79004,1178.60999,1167.71997,2079770000.0
2005-04-05T00:00:00-04:00,1181.39001,1176.12,1183.56006,1176.12,1870800000.0
2005-04-06T00:00:00-04:00,1184.06995,1181.39001,1189.33997,1181.39001,1797400000.0
2005-04-07T00:00:00-04:00,1191.14001,1184.06995,1191.88,1183.81006,1900620000.0
2005-04-08T00:00:00-04:00,1181.19995,1191.14001,1191.75,1181.13,1661330000.0
2005-04-11T00:00:00-04:00,1181.20996,1181.19995,1184.06995,1178.68994,1525310000.0
2005-04-12T00:00:00-04:00,1187.76001,1181.20996,1190.17004,1170.84998,1979830000.0
2005-04-13T00:00:00-04:00,1173.79004,1187.76001,1187.76001,1171.40002,2049740000.0
2005-04-14T00:00:00-04:00,1162.05005,1173.79004,1174.67004,1161.69995,2355040000.0
2005-04-15T00:00:00-04:00,1142.62,1162.05005,1162.05005,1141.92004,2689960000.0
2005-04-18T00:00:00-04:00,1145.97998,1142.62,1148.92004,1139.80005,2180670000.0
2005-04-19T00:00:00-04:00,1152.78003,1145.97998,1154.67004,1145.97998,2142700000.0
2005-04-20T00:00:00-04:00,1137.5,1152.78003,1155.5,1136.15002,2217050000.0
2005-04-21T00:00:00-04:00,1159.94995,1137.5,1159.94995,1137.5,2308560000.0
2005-04-22T00:00:00-04:00,1152.12,1159.94995,1159.94995,1142.94995,2045880000.0
2005-04-25T00:00:00-04:00,1162.09998,1152.12,1164.05005,1152.12,1795030000.0
2005-04-26T00:00:00-04:00,1151.82996,1162.09998,1164.80005,1151.82996,1959740000.0
2005-04-27T00:00:00-04:00,1156.38,1151.73999,1159.87,1144.42004,2151520000.0
2005-04-28T00:00:00-04:00,1143.21997,1156.38,1156.38,1143.21997,2182270000.0
